TrackId,SongName,Artist,SpotifyArtistId,ReleaseDate,Label
481PfRchSfYdStUDhuxwY4,Let Me Out,A-Park,5vGeFzdRaJbyREtyPZh3gF,5/8/2020,OHG Records
4aJ2vhjWIypmRfM1FMl9zD,Your Eyes,jeonghyeon,6sxcddx1xFwv0MblwbXNVq,5/8/2020,Future House Cloud
4AowAwIMhzx6DjNqFf1Py3,Paperskin,Barren Gates,7eMykQ9NjmtA5FnMarEG2F,5/8/2020,Barren Gates
4b740RnLWsvdqaxUbuvwFO,Memories,Buju Banton,4wLAjfeqAsV66AocWNcowA,5/8/2020,Gargamel Music
4bbDlzPasNSFI1l69mx2zx,FUCK THE CLUB (feat. GOLDN),chillpill,1QzqrU2lmiW9l1mSvliVoM,5/8/2020,Big Beat Records/Atlantic
4BMBE9yyJsmzrKYcKY0YkU,Keeps Me High (Hanga Remix),HADES,10MePwUrEFRfJ3lN2FLs4b,5/8/2020,Soave Records
4bzd4evyqXabRtesx4emPn,Grieving (feat. James Blake),Kehlani,0cGUm45nv7Z6M6qdXYQGTX,5/8/2020,TSNMI / Atlantic
4Enlcyh39viIhlFXcX1AtO,Denk Nicht,Veranda Music,3sgqzQcLWv8ZDje85GPSvM,5/8/2020,Staatsakt Rec. GmbH
4fmOaQu7ydEpUD7Z3JBfst,Big Shark Smile (Isolation),Kali,2J7EUvdss6cidRd8IszWUy,5/8/2020,Kalì
4fV9yPrUlVHiecsnxI8PSV,Ayy 3x,Aklesso,7r3HxO330lmabOprT2MMFK,5/8/2020,Good City Music / Heathen Music
4gqhIinJmAKiCF8B0o19Hh,Soulsearching,Soulgarden,4D1RsYNSjyxvaKtj5qIdps,5/8/2020,1449607 Records DK
4HBZA5flZLE435QTztThqH,Stuck With U (with Justin Bieber),Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,5/8/2020,Universal Records
4izIlwGDmoBiQazgxRUEAN,Southerngangstaplaya,Stoney Hoop,0JoRzNPuNHChyFguOdiMkR,5/8/2020,Stoney Hoop
4Kd9eG7Ot4y6zx66CYNu6x,At Zero Below,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,5/8/2020,Heavenly Recordings
4kPDKtuu4K1bhxLvy4Hz0N,Home Soon,Dre Scott,0ZfnZFIIcIFoyTgChvj68x,5/8/2020,687806 Records DK2
4lericWN5seJOOOTiyGSyi,El Aqua,Rich Tyler,4KarOb4ktxVIAwyaGmiCD3,5/8/2020,Rich Tyler
4mdEnwICiQfqN3Stpb2fJg,yourplace,riela,5K3Lwty6gv1gtuPn3gcf3A,5/8/2020,riela
4MHr6EK8wU8XoKgTobb1Cp,Love Life,TYO,2AHQ2tLbh74kajUtEn20ne,5/8/2020,Heart Of Berlin
4mQbsmONp7vLePy9sh2JCx,Dumb - Jerome Remix,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,5/8/2020,Hussle Recordings AU
